--- Bereinigungs-Log: Spalte 'Year' ---
Anzahl fehlerhafter Einträge gefunden: 165

                                                                   Name        Platform  Year
159                                          Madden NFL TwoZeroZeroFour           PSTow     0
325                                         FIFA Soccer TwoZeroZeroFour           PSTow     0
406                                 wwe Smackdown vs Raw TwoZeroZeroSix           PSTow     0
522                                                      Space Invaders  TowSixZeroZero     0
537                                                           Rock Band   XThreeSixZero     0
560                              Froggers Adventures Temple of the Frog             GBA     0
1061                                               Triple Play NineNine              PS     0
1150                                  LEGO Harry Potter Years FiveSeven             Wii     0
1202                                                          Adventure  TowSixZeroZero     0
1260                                                             Combat  TowSixZeroZero     0
1308                                    NASCAR Thunder TwoZeroZeroThree           PSTow     0
1558                                         Legacy of Kain Soul Reaver              PS     0
1582                                               Donkey Kong Land III              GB     0
1643                                                      AirSea Battle  TowSixZeroZero     0
1644                                                       Suikoden III           PSTow     0
1656                                                        Yakuza Four         PSThree     0
1840                             The Lord of the Rings War in the North         PSThree     0
1897                                      MLB SlugFest TwoZeroZeroThree           PSTow     0
1921                                           Shaun White Snowboarding   XThreeSixZero     0
2086                                                  WarioWare Twisted             GBA     0
2199                                           Test Drive Unlimited Two   XThreeSixZero     0
2267       The Chronicles of Narnia The Lion The Witch and The Wardrobe             GBA     0
2363                                                 Monster Hunter Two           PSTow     0
2375                                          Advance Wars Days of Ruin              DS     0
2389                                     Metal Gear Solid Two Substance              XB     0
2540                                             NASCAR Dirt to Daytona           PSTow     0
2815                                                      Fishing Derby  TowSixZeroZero     0
2981                                                             Karate  TowSixZeroZero     0
3039                                                       Circus Atari  TowSixZeroZero     0
3100                  The Chronicles of Riddick Escape from Butcher Bay              XB     0
3135                                Maze Craze A Game of Cops n Robbers  TowSixZeroZero     0
3137                                             Silent Hill Homecoming   XThreeSixZero     0
3197                                                     Super Breakout  TowSixZeroZero     0
3199                               Robert Ludlums The Bourne Conspiracy   XThreeSixZero     0
3240                                                       NHL Slapshot             Wii     0
3341                                                               TERA              PC     0
3408                                       NFL GameDay TwoZeroZeroThree           PSTow     0
3450                                     Harvest Moon Save the Homeland           PSTow     0
3569                                                            Hangman  TowSixZeroZero     0
3637                                                    Bejeweled Three              DS     0
3654                             Cubix Robots for Everyone Clash n Bash             GBA     0
3655                                                       Tropico Four   XThreeSixZero     0
3730                       Dragon Ball Z Budokai Tenkaichi Two JP sales             Wii     0
3935                                                   Final Fantasy XI           PSTow     0
3940                                                        Singularity   XThreeSixZero     0
3963                                                           Dragster  TowSixZeroZero     0
3972                                   AllStar Baseball TwoZeroZeroFive           PSTow     0
4039                              Star Wars Jedi Knight II Jedi Outcast              XB     0
4057                                                       Slot Machine  TowSixZeroZero     0
4108                         The Dukes of Hazzard II Daisy Dukes It Out              PS     0
4116                                 Disgaea Three Absence of Detention             PSV     0
