Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role Playing,Shooter,Simulation,Sports,Strategy
1980.0,0.34,0.0,0.77,2.71,0.0,0.0,0.0,0.0,7.069999999999999,0.0,0.0,0.0
1981.0,14.66,1.3,0.47,0.0,5.47,3.27,1.07,0.0,13.55,0.45,1.45,0.0
1982.0,6.5200000000000005,0.0,0.0,0.87,2.9000000000000004,9.45,1.5699999999999998,0.0,3.79,0.0,1.05,0.0
1983.0,2.86,0.4,0.0,2.14,5.8,0.78,0.0,0.0,0.48,0.0,3.2,0.0
1984.0,1.85,0.0,0.0,1.45,0.69,1.92,4.43,0.0,31.099999999999998,0.0,6.18,0.0
1985.0,3.52,0.0,1.05,0.0,43.17,2.8000000000000003,0.0,0.0,1.0,0.03,1.96,0.0
1986.0,13.74,0.0,0.0,0.0,9.39,0.0,1.96,2.52,3.89,0.0,5.57,0.0
1987.0,0.65,4.38,5.42,0.0,1.7400000000000002,0.0,0.0,4.65,0.71,0.0,3.7199999999999998,0.0
1988.0,1.75,0.0,0.0,0.0,26.3,0.0,2.14,5.12,0.51,0.0,3.5999999999999996,0.0
1989.0,4.64,0.0,0.0,1.28,20.66,37.75,0.0,2.2,1.2,0.0,0.0,0.0
1990.0,6.390000000000001,0.0,0.0,0.0,22.97,1.15,6.26,3.12,0.0,1.14,2.11,0.0
1991.0,6.76,2.24,0.39,0.08,7.64,2.51,1.14,3.25,2.0,2.14,2.41,0.94
1992.0,3.83,12.24,12.52,4.9399999999999995,13.42,3.7199999999999998,9.04,6.79,0.26,2.14,2.9499999999999997,0.3
1993.0,1.81,0.07,8.53,0.3,18.67,3.17,0.35,5.59,3.08,0.19,3.18,0.81
1994.0,1.5499999999999998,3.68,7.12,2.8600000000000003,27.330000000000002,1.53,1.4000000000000001,7.11,7.84,2.37,6.96,3.56
1995.0,3.16,0.65,13.63,6.38,16.69,2.56,6.09,13.46,3.89,3.23,6.65,6.27
1996.0,19.29,4.19,16.32,10.68,28.23,3.83,28.24,43.96,6.3100000000000005,9.73,17.11,5.61
1997.0,24.71,4.64,10.68,3.93,21.79,5.81,31.169999999999998,21.0,22.17,9.34,29.84,7.3
1998.0,38.85,9.14,29.09,11.84,29.25,6.28,26.79,27.88,4.62,7.11,40.43,13.35
1999.0,25.61,7.54,11.74,19.58,13.799999999999999,1.3599999999999999,35.6,47.92,10.49,11.44,27.27,17.29
2000.0,30.94,2.87,18.48,14.49,14.200000000000001,3.14,16.95,27.509999999999998,6.49,3.33,32.519999999999996,8.5
2001.0,54.93,8.4,18.12,14.58,33.52,6.24,51.78,21.62,22.62,19.54,37.13,7.529999999999999
2002.0,70.77,12.790000000000001,25.61,13.56,37.08,6.03,25.41,46.85,35.93,10.62,60.660000000000004,5.46
2003.0,44.83,1.97,19.52,21.94,25.73,2.39,39.82,29.7,23.06,17.29,41.54,7.44
2004.0,60.54,8.04,14.15,28.23,28.45,8.39,38.26,49.800000000000004,37.19,9.05,45.26,6.95
2005.0,58.22,6.93,16.7,57.01,17.23,20.27,48.85,25.7,31.03,45.75,45.11,4.93
2006.0,49.98,9.35,16.96,66.57,43.870000000000005,10.65,21.19,52.04,33.69,17.74,115.46,3.89
2007.0,61.14,18.04,11.12,72.46,31.9,23.259999999999998,24.97,39.69,52.45,42.09,68.33,8.05
2008.0,71.01,21.7,26.57,59.62,23.14,14.53,55.36,52.089999999999996,39.75,43.94,56.64,9.71
2009.0,88.01,16.8,17.85,52.98,35.81,18.63,22.85,39.95,47.68,30.77,103.94,12.06
2010.0,66.13,14.96,8.69,82.9,28.37,10.13,25.18,61.09,47.440000000000005,14.53,59.35,12.77
2011.0,69.1,11.36,14.58,47.35,23.45,4.9,26.93,36.72,57.35,13.75,38.0,8.97
2012.0,72.78,4.66,5.73,19.98,17.7,1.76,5.45,40.6,41.4,12.72,16.169999999999998,2.07
2013.0,69.95,6.0,4.04,20.73,14.48,0.89,8.790000000000001,33.11,27.25,7.57,19.54,4.75
2014.0,35.85,2.88,9.81,5.47,7.59,1.39,13.63,32.410000000000004,29.84,5.36,18.15,0.89
2015.0,44.4,5.09,4.49,8.28,5.78,0.6900000000000001,6.2700000000000005,23.86,43.65,4.21,20.76,1.74
2016.0,13.69,1.32,3.31,0.52,1.77,0.0,1.23,5.01,12.61,0.39,9.469999999999999,0.44
2017.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0
