Year,Platform,Genre,Game_Count
2020.0,DS,Simulation,1
2017.0,PSFour,Role Playing,1
2017.0,PSV,Action,1
2016.0,PSFour,Action,29
2016.0,PSV,Action,21
2016.0,PSV,Adventure,15
2016.0,PSFour,Shooter,12
2016.0,ThreeDS,Action,12
2016.0,PSFour,Sports,11
2016.0,PSFour,Role Playing,10
2016.0,PC,Strategy,7
2016.0,PSFour,Racing,7
2016.0,PSV,Role Playing,7
2016.0,PSFour,Fighting,6
2016.0,PSFour,Adventure,5
2016.0,ThreeDS,Role Playing,5
2016.0,ThreeDS,Adventure,4
2016.0,ThreeDS,Misc,4
2016.0,PC,Simulation,3
2016.0,PSFour,Misc,3
2016.0,PSFour,Platform,3
2016.0,PSFour,Simulation,3
2016.0,XOne,Action,3
2016.0,PSThree,Misc,2
2016.0,PSV,Misc,2
2016.0,PSV,Sports,2
2016.0,ThreeDS,Platform,2
2016.0,ThreeDS,Simulation,2
2016.0,PC,Adventure,1
2016.0,PC,Role Playing,1
2016.0,PSThree,Action,1
2016.0,PSThree,Shooter,1
2016.0,PSThree,Sports,1
2016.0,PSV,Fighting,1
2016.0,ThreeDS,Fighting,1
2016.0,ThreeDS,Strategy,1
2016.0,WiiU,Action,1
2016.0,WiiU,Fighting,1
2016.0,WiiU,Shooter,1
2016.0,XOne,Racing,1
2016.0,XOne,Simulation,1
2016.0,XOne,Sports,1
2015.0,PSV,Action,45
2015.0,PSFour,Action,35
2015.0,ThreeDS,Action,31
2015.0,PSV,Adventure,19
2015.0,PSV,Role Playing,17
2015.0,PSFour,Role Playing,15
2015.0,PSThree,Action,13
2015.0,PSFour,Sports,12
2015.0,ThreeDS,Role Playing,12
2015.0,PSFour,Shooter,10
2015.0,ThreeDS,Misc,10
2015.0,PC,Strategy,7
2015.0,PSFour,Fighting,7
2015.0,PC,Simulation,6
2015.0,PSFour,Adventure,5
2015.0,PSFour,Racing,5
2015.0,PSV,Misc,5
2015.0,WiiU,Misc,5
2015.0,PC,Action,4
2015.0,ThreeDS,Puzzle,4
2015.0,WiiU,Action,4
2015.0,PSThree,Sports,3
2015.0,PSV,Strategy,3
2015.0,ThreeDS,Platform,3
2015.0,ThreeDS,Simulation,3
2015.0,ThreeDS,Strategy,3
2015.0,WiiU,Platform,3
2015.0,WiiU,Role Playing,3
2015.0,XOne,Misc,3
2015.0,XThreeSixZero,Action,3
2015.0,PC,Misc,2
2015.0,PSFour,Misc,2
2015.0,PSP,Action,2
2015.0,PSThree,Adventure,2
2015.0,PSV,Platform,2
2015.0,ThreeDS,Adventure,2
2015.0,ThreeDS,Fighting,2
2015.0,XOne,Shooter,2
2015.0,PC,Adventure,1
2015.0,PSFour,Platform,1
2015.0,PSFour,Puzzle,1
2015.0,PSFour,Simulation,1
2015.0,PSFour,Strategy,1
2015.0,PSThree,Misc,1
2015.0,PSThree,Role Playing,1
2015.0,PSV,Racing,1
2015.0,PSV,Simulation,1
2015.0,ThreeDS,Sports,1
2015.0,Wii,Action,1
2015.0,Wii,Misc,1
2015.0,WiiU,Shooter,1
2015.0,WiiU,Sports,1
2015.0,XOne,Adventure,1
2015.0,XOne,Racing,1
2015.0,XOne,Strategy,1
2015.0,XThreeSixZero,Adventure,1
2015.0,XThreeSixZero,Platform,1
2015.0,XThreeSixZero,Sports,1
2014.0,PSV,Adventure,23
2014.0,PSFour,Action,18
2014.0,PSV,Role Playing,18
2014.0,ThreeDS,Action,18
2014.0,ThreeDS,Role Playing,16
2014.0,PSV,Action,13
2014.0,PSFour,Sports,11
2014.0,PSThree,Action,10
2014.0,PSThree,Fighting,9
2014.0,PSThree,Role Playing,9
2014.0,ThreeDS,Adventure,9
2014.0,PSV,Misc,7
2014.0,PSFour,Shooter,6
2014.0,WiiU,Action,6
2014.0,PSFour,Role Playing,5
2014.0,PSThree,Adventure,5
2014.0,ThreeDS,Misc,5
2014.0,XThreeSixZero,Action,5
2014.0,PSFour,Racing,4
2014.0,PSP,Adventure,4
2014.0,PSThree,Sports,4
2014.0,ThreeDS,Simulation,4
2014.0,XOne,Misc,4
2014.0,PC,Role Playing,3
2014.0,PC,Simulation,3
2014.0,PSFour,Adventure,3
2014.0,PSThree,Racing,3
2014.0,ThreeDS,Puzzle,3
2014.0,ThreeDS,Strategy,3
2014.0,XOne,Shooter,3
2014.0,PC,Action,2
2014.0,PSFour,Misc,2
2014.0,PSFour,Platform,2
2014.0,PSP,Action,2
2014.0,PSThree,Shooter,2
2014.0,ThreeDS,Fighting,2
2014.0,ThreeDS,Platform,2
2014.0,ThreeDS,Sports,2
2014.0,WiiU,Misc,2
2014.0,XThreeSixZero,Racing,2
2014.0,XThreeSixZero,Shooter,2
2014.0,DS,Action,1
2014.0,PC,Strategy,1
2014.0,PSP,Misc,1
2014.0,PSThree,Misc,1
2014.0,PSThree,Platform,1
2014.0,PSThree,Simulation,1
2014.0,PSThree,Strategy,1
2014.0,PSV,Fighting,1
2014.0,PSV,Platform,1
2014.0,PSV,Puzzle,1
2014.0,PSV,Simulation,1
2014.0,PSV,Strategy,1
2014.0,Wii,Action,1
2014.0,Wii,Adventure,1
2014.0,Wii,Misc,1
2014.0,WiiU,Platform,1
2014.0,WiiU,Puzzle,1
2014.0,WiiU,Racing,1
2014.0,WiiU,Sports,1
2014.0,XOne,Adventure,1
2014.0,XOne,Racing,1
2014.0,XOne,Sports,1
2014.0,XThreeSixZero,Adventure,1
2013.0,PSP,Adventure,28
2013.0,PSThree,Action,23
2013.0,ThreeDS,Action,21
2013.0,ThreeDS,Role Playing,16
2013.0,PSThree,Role Playing,14
2013.0,PSV,Role Playing,13
2013.0,ThreeDS,Misc,11
2013.0,XThreeSixZero,Shooter,11
2013.0,PSThree,Shooter,9
2013.0,PSThree,Sports,9
2013.0,PSV,Adventure,7
2013.0,PSP,Misc,6
2013.0,PSThree,Adventure,6
2013.0,PSThree,Fighting,6
2013.0,ThreeDS,Adventure,6
2013.0,XThreeSixZero,Action,6
2013.0,PSP,Role Playing,5
2013.0,PSV,Action,5
2013.0,PSP,Action,4
2013.0,ThreeDS,Platform,4
2013.0,ThreeDS,Simulation,4
2013.0,Wii,Misc,4
2013.0,XThreeSixZero,Sports,4
2013.0,PC,Adventure,3
2013.0,PC,Simulation,3
2013.0,PC,Strategy,3
2013.0,PSThree,Misc,3
2013.0,PSThree,Racing,3
2013.0,PSThree,Simulation,3
2013.0,WiiU,Action,3
2013.0,WiiU,Misc,3
2013.0,DS,Action,2
2013.0,DS,Platform,2
2013.0,PSFour,Platform,2
2013.0,PSThree,Platform,2
2013.0,PSThree,Strategy,2
2013.0,PSV,Misc,2
2013.0,ThreeDS,Strategy,2
2013.0,WiiU,Platform,2
2013.0,WiiU,Sports,2
2013.0,XOne,Action,2
2013.0,XOne,Fighting,2
2013.0,DS,Simulation,1
2013.0,DS,Sports,1
2013.0,PC,Platform,1
2013.0,PC,Shooter,1
2013.0,PC,Sports,1
2013.0,PSFour,Racing,1
2013.0,PSFour,Shooter,1
2013.0,PSFour,Sports,1
2013.0,PSP,Fighting,1
2013.0,PSP,Sports,1
2013.0,PSP,Strategy,1
2013.0,PSV,Fighting,1
2013.0,PSV,Shooter,1
2013.0,PSV,Strategy,1
2013.0,ThreeDS,Fighting,1
2013.0,ThreeDS,Puzzle,1
2013.0,ThreeDS,Shooter,1
2013.0,ThreeDS,Sports,1
2013.0,Wii,Action,1
2013.0,Wii,Platform,1
2013.0,Wii,Strategy,1
2013.0,WiiU,Puzzle,1
2013.0,WiiU,Strategy,1
2013.0,XOne,Racing,1
2013.0,XOne,Simulation,1
2013.0,XThreeSixZero,Fighting,1
2013.0,XThreeSixZero,Misc,1
2013.0,XThreeSixZero,Racing,1
2012.0,PSP,Action,44
2012.0,PSThree,Action,42
2012.0,ThreeDS,Action,34
2012.0,PSP,Adventure,16
2012.0,ThreeDS,Role Playing,16
2012.0,PSP,Role Playing,15
2012.0,PSThree,Shooter,14
2012.0,XThreeSixZero,Action,14
2012.0,PSV,Action,12
2012.0,DS,Action,9
2012.0,PSThree,Adventure,9
2012.0,PSThree,Fighting,8
2012.0,PSThree,Role Playing,8
2012.0,PSThree,Sports,8
2012.0,Wii,Misc,8
2012.0,ThreeDS,Misc,7
2012.0,Wii,Action,7
2012.0,XThreeSixZero,Sports,7
2012.0,PC,Strategy,6
2012.0,WiiU,Action,6
2012.0,ThreeDS,Adventure,5
2012.0,ThreeDS,Simulation,5
2012.0,XThreeSixZero,Racing,5
2012.0,XThreeSixZero,Shooter,5
2012.0,DS,Puzzle,4
2012.0,PC,Role Playing,4
2012.0,PSThree,Simulation,4
2012.0,ThreeDS,Puzzle,4
2012.0,XThreeSixZero,Role Playing,4
2012.0,PC,Action,3
2012.0,PC,Adventure,3
2012.0,PSP,Strategy,3
2012.0,PSThree,Misc,3
2012.0,PSThree,Racing,3
2012.0,PSThree,Strategy,3
2012.0,PSV,Adventure,3
2012.0,PSV,Racing,3
2012.0,PSV,Role Playing,3
2012.0,ThreeDS,Platform,3
2012.0,WiiU,Misc,3
2012.0,XThreeSixZero,Misc,3
2012.0,DS,Adventure,2
2012.0,DS,Role Playing,2
2012.0,PC,Puzzle,2
2012.0,PC,Simulation,2
2012.0,PSP,Fighting,2
2012.0,PSP,Sports,2
2012.0,PSThree,Platform,2
2012.0,PSV,Misc,2
2012.0,PSV,Shooter,2
2012.0,ThreeDS,Sports,2
2012.0,Wii,Role Playing,2
2012.0,XThreeSixZero,Fighting,2
