Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales
1980.0,10.13,0.64,0.0,0.11
1981.0,38.93,2.32,0.0,0.34
1982.0,24.39,1.5,0.0,0.27
1983.0,7.53,0.75,7.26,0.13
1984.0,33.01,2.02,11.9,0.6799999999999999
1985.0,33.73,4.74,14.15,0.92
1986.0,12.5,2.84,19.81,1.93
1987.0,8.02,1.39,11.63,0.2
1988.0,20.08,5.6499999999999995,12.84,0.8400000000000001
1989.0,42.91,7.54,15.889999999999999,1.39
1990.0,22.84,7.03,11.969999999999999,1.29
1991.0,12.76,3.95,14.05,0.74
1992.0,31.490000000000002,10.97,28.15,1.53
1993.0,15.120000000000001,4.65,25.1,0.89
1994.0,24.95,14.08,32.3,2.0300000000000002
1995.0,23.21,14.290000000000001,42.68,2.5100000000000002
1996.0,83.67999999999999,46.12,56.19,7.52
1997.0,90.88,45.84,47.0,8.74
1998.0,119.23,64.89,49.55,10.81
1999.0,111.57,58.23,50.25,9.5
2000.0,81.78,47.53,39.63,10.52
2001.0,150.42,86.05,38.25,21.37
2002.0,181.01,99.05,43.04,27.43
2003.0,137.73,82.41,32.31,22.72
2004.0,165.93,86.24,38.43,43.46
2005.0,184.3,104.1,52.61,36.39
2006.0,209.59,114.28,70.81,46.4
2007.0,220.1,118.42999999999999,57.79,56.65
2008.0,244.69,123.64,55.83,49.48
2009.0,244.56,137.27,57.36,47.94
2010.0,215.48,120.21,55.56,40.21
2011.0,163.09,107.2,47.1,35.04
2012.0,96.44,73.4,46.34,24.81
2013.0,83.91,70.79,38.92,23.44
2014.0,56.02,57.45,31.11,18.78
2015.0,58.23,62.47,28.07,20.42
2016.0,14.040000000000001,19.02,10.74,6.01
2017.0,0.0,0.0,0.04,0.0
2020.0,0.27,0.0,0.0,0.02
