country,salary_usd_ai,experience_years_ai,salary_usd_tech,experience_years_tech,population,area_km2,ai_premium_pct
Australia,188000.0,6.333333333333333,110549.80880221372,7.039530899986823,10780000.0,22359.0,70.05909104406824
Brazil,,,53704.839231278995,7.125115970841617,48750000.0,5571.0,
Canada,180588.23529411765,6.635294117647059,108671.05261773217,6.9510655090765585,6550000.0,630.0,66.17878537476368
China,134287.3563218391,6.022988505747127,,,237065000.0,34654.0,
France,183151.51515151514,6.287878787878788,95170.45779569892,6.975134408602151,11420000.0,2723.0,92.44576457190519
Germany,181180.24691358025,6.345679012345679,100007.78206674708,7.099718536389224,5050000.0,891.0,81.1661484429853
Global,222043.9024390244,5.878048780487805,,,,,
India,133122.80701754385,6.0,43106.29744966443,6.952751677852349,148835000.0,11383.0,208.82449872432773
Japan,170131.57894736843,6.473684210526316,98507.65768707482,7.095918367346939,65495000.0,14271.0,72.70898825735794
Netherlands,175256.75675675675,6.297297297297297,102379.04870907639,7.040723981900452,,,71.18420122731557
Singapore,181830.98591549296,5.76056338028169,116954.73387841224,7.014638006066201,6195000.0,728.0,55.471249333547256
Switzerland,190592.1052631579,6.776315789473684,,,,,
Uae,194225.8064516129,5.903225806451613,93507.69929605526,7.113428078098021,4580000.0,1610.0,107.71103119185241
Uk,180644.44444444444,6.455555555555556,102826.23619224642,6.920738183749336,9930000.0,1738.0,75.67933159267564
Usa,226189.90291262136,6.135922330097087,132995.2074274139,7.009993247805537,8345000.0,778.0,70.07372467618522
