Dataset,Column,Missing_Count
Purchase,customer_id,0
Purchase,age,0
Purchase,gender,0
Purchase,item,0
Purchase,category,0
Purchase,purchase_amount,0
Purchase,location,0
Purchase,size,0
Purchase,color,0
Purchase,season,0
Purchase,review_rating,0
Purchase,subscription_status,0
Purchase,payment_method,0
Purchase,shipping_type,0
Purchase,discount_applied,0
Purchase,promo_code_used,0
Purchase,previous_purchases,0
Purchase,preferred_payment_method,3900
Purchase,frequency,0
Online,customer_id,0
Online,gender,0
Online,age,0
Online,country,0
Online,device_type,0
Online,category,0
Online,time_spent,0
Online,items_viewed,0
Online,items_purchased,0
Online,total_spent,0
Smartphone,transaction_id,0
Smartphone,customer_id,0
Smartphone,age,0
Smartphone,gender,0
Smartphone,daily_screen_time,0
Smartphone,social_media_hours,0
Smartphone,gaming_hours,0
Smartphone,work_study_hours,0
Smartphone,sleep_hours,0
Smartphone,notifications,0
Smartphone,app_opens,0
Smartphone,weekend_screen_time,0
Smartphone,stress_level,0
Smartphone,academic_impact,0
Smartphone,addiction_level,819
Smartphone,addicted_label,0
