customer_id,gender,age,country,device_type,category,time_spent,items_viewed,items_purchased,total_spent,age_group
CUST_1,Male,40,Australia,Tablet,Clothing,87,12,8,1187,36-45
CUST_2,Female,38,Pakistan,Tablet,Electronics,71,22,3,153,36-45
CUST_3,Male,36,UK,Tablet,Clothing,59,20,8,1055,36-45
CUST_4,Male,36,Pakistan,Mobile,Clothing,39,18,3,991,36-45
CUST_5,Male,53,Canada,Desktop,Electronics,3,1,1,588,46-55
CUST_6,Female,46,UK,Desktop,Books,76,30,3,252,46-55
CUST_7,Male,35,USA,Mobile,Home,7,33,5,1129,26-35
CUST_8,Male,19,Canada,Desktop,Electronics,49,24,5,706,18-25
CUST_9,Male,18,UK,Tablet,Sports,26,14,4,100,18-25
CUST_10,Female,64,Australia,Desktop,Books,33,36,0,1412,56-65
CUST_11,Male,22,Australia,Desktop,Books,101,5,2,286,18-25
CUST_12,Male,37,Australia,Desktop,Sports,48,11,4,326,36-45
CUST_13,Male,28,Australia,Tablet,Home,79,24,5,1424,26-35
CUST_14,Male,59,USA,Mobile,Books,2,31,0,1306,56-65
CUST_15,Female,19,Pakistan,Tablet,Clothing,105,13,8,533,18-25
CUST_16,Male,20,UK,Mobile,Home,71,16,2,267,18-25
CUST_17,Female,40,USA,Mobile,Sports,32,24,9,584,36-45
CUST_18,Female,29,Australia,Mobile,Home,4,13,2,1321,26-35
CUST_19,Female,37,Pakistan,Desktop,Electronics,20,24,1,298,36-45
CUST_20,Male,22,Canada,Desktop,Home,114,26,7,399,18-25
CUST_21,Female,54,Canada,Mobile,Clothing,117,2,2,517,46-55
CUST_22,Male,55,Canada,Mobile,Electronics,36,16,5,925,46-55
CUST_23,Female,47,Australia,Desktop,Beauty,32,38,1,814,46-55
CUST_24,Female,26,Canada,Tablet,Sports,28,46,6,1208,26-35
CUST_25,Female,51,India,Mobile,Sports,77,1,3,924,46-55
CUST_26,Female,61,UK,Tablet,Home,1,49,8,697,56-65
CUST_27,Female,52,UK,Desktop,Books,60,11,9,239,46-55
CUST_28,Female,39,Australia,Mobile,Electronics,56,35,8,956,36-45
CUST_29,Female,61,India,Tablet,Beauty,35,43,6,1365,56-65
CUST_30,Female,41,USA,Tablet,Electronics,112,29,7,1036,36-45
CUST_31,Male,34,USA,Tablet,Sports,30,37,2,1471,26-35
CUST_32,Male,27,Canada,Desktop,Electronics,54,17,4,543,26-35
CUST_33,Female,47,Pakistan,Desktop,Beauty,36,39,1,824,46-55
CUST_34,Female,63,USA,Tablet,Books,55,42,9,1119,56-65
CUST_35,Female,40,Pakistan,Tablet,Home,89,28,6,276,36-45
CUST_36,Male,49,UK,Desktop,Clothing,80,29,7,1033,46-55
CUST_37,Female,34,Pakistan,Tablet,Electronics,58,43,8,1247,26-35
CUST_38,Male,34,UK,Tablet,Clothing,83,3,6,1146,26-35
CUST_39,Male,31,India,Desktop,Sports,65,10,9,597,26-35
CUST_40,Male,26,India,Tablet,Home,69,42,9,980,26-35
CUST_41,Male,57,Australia,Tablet,Home,51,14,7,119,56-65
CUST_42,Male,19,Australia,Tablet,Electronics,22,12,8,267,18-25
CUST_43,Female,62,Canada,Desktop,Books,88,47,5,1334,56-65
CUST_44,Female,42,USA,Tablet,Home,107,42,9,1450,36-45
CUST_45,Female,56,Canada,Desktop,Electronics,109,30,1,211,56-65
CUST_46,Female,26,UK,Desktop,Electronics,116,32,1,307,26-35
CUST_47,Female,39,Canada,Mobile,Clothing,101,32,3,116,36-45
CUST_48,Male,60,Pakistan,Mobile,Home,53,42,8,1445,56-65
CUST_49,Female,63,UK,Tablet,Electronics,100,32,6,1313,56-65
CUST_50,Female,21,Australia,Desktop,Clothing,36,26,1,189,18-25
CUST_51,Male,43,India,Mobile,Beauty,68,1,7,905,36-45
CUST_52,Female,46,Australia,Tablet,Clothing,36,42,6,225,46-55
CUST_53,Male,62,USA,Mobile,Clothing,52,2,8,1472,56-65
CUST_54,Female,51,UK,Mobile,Electronics,53,17,7,1145,46-55
CUST_55,Male,40,UK,Desktop,Sports,82,30,2,1098,36-45
CUST_56,Female,54,Pakistan,Desktop,Sports,50,39,0,902,46-55
CUST_57,Female,28,USA,Mobile,Books,80,7,1,1098,26-35
CUST_58,Male,23,India,Mobile,Sports,41,27,1,626,18-25
CUST_59,Male,35,UK,Desktop,Clothing,18,9,3,431,26-35
CUST_60,Male,38,UK,Tablet,Books,22,22,5,648,36-45
CUST_61,Male,59,Pakistan,Desktop,Electronics,66,34,3,572,56-65
CUST_62,Male,53,Canada,Mobile,Home,21,46,8,447,46-55
CUST_63,Male,58,India,Tablet,Clothing,100,49,3,605,56-65
CUST_64,Male,55,Australia,Mobile,Clothing,44,1,5,1165,46-55
CUST_65,Male,51,USA,Tablet,Books,103,9,5,508,46-55
CUST_66,Female,34,UK,Mobile,Electronics,47,20,9,135,26-35
CUST_67,Female,54,UK,Tablet,Beauty,39,19,9,222,46-55
CUST_68,Male,42,Australia,Tablet,Clothing,29,36,0,692,36-45
CUST_69,Female,55,India,Mobile,Beauty,54,40,7,175,46-55
CUST_70,Female,29,Canada,Tablet,Beauty,90,45,2,616,26-35
CUST_71,Female,40,UK,Desktop,Sports,85,4,5,996,36-45
CUST_72,Female,59,India,Mobile,Electronics,17,9,2,1157,56-65
CUST_73,Male,39,Australia,Desktop,Beauty,80,41,1,61,36-45
CUST_74,Female,38,Pakistan,Mobile,Electronics,60,22,4,1209,36-45
CUST_75,Male,44,Canada,Tablet,Sports,31,18,0,250,36-45
CUST_76,Female,48,USA,Tablet,Electronics,115,12,8,148,46-55
CUST_77,Female,23,UK,Tablet,Clothing,73,42,6,1079,18-25
CUST_78,Female,44,India,Mobile,Beauty,95,43,2,372,36-45
CUST_79,Male,57,Pakistan,Desktop,Electronics,78,39,3,1487,56-65
CUST_80,Female,51,USA,Desktop,Home,49,9,5,222,46-55
CUST_81,Male,29,India,Mobile,Electronics,101,6,2,620,26-35
CUST_82,Female,62,India,Mobile,Beauty,2,19,6,1285,56-65
CUST_83,Male,24,USA,Desktop,Sports,116,48,5,1184,18-25
CUST_84,Female,27,Pakistan,Desktop,Sports,48,47,8,446,26-35
CUST_85,Male,62,Australia,Desktop,Beauty,110,7,4,845,56-65
CUST_86,Male,34,Pakistan,Desktop,Clothing,14,16,3,960,26-35
CUST_87,Female,43,Canada,Mobile,Clothing,59,5,2,703,36-45
CUST_88,Male,38,UK,Mobile,Sports,97,16,9,880,36-45
CUST_89,Female,45,USA,Tablet,Sports,99,1,0,780,36-45
CUST_90,Female,63,Australia,Desktop,Beauty,58,37,2,766,56-65
CUST_91,Female,19,USA,Tablet,Clothing,103,39,2,949,18-25
CUST_92,Female,60,USA,Mobile,Sports,58,19,6,927,56-65
CUST_93,Female,18,Pakistan,Mobile,Clothing,111,37,6,939,18-25
CUST_94,Female,53,UK,Tablet,Sports,51,17,0,29,46-55
CUST_95,Female,43,Canada,Desktop,Electronics,84,26,2,810,36-45
CUST_96,Female,46,India,Desktop,Home,2,22,7,768,46-55
CUST_97,Female,38,India,Desktop,Books,115,8,8,1088,36-45
CUST_98,Female,28,USA,Desktop,Electronics,41,33,6,1495,26-35
CUST_99,Female,57,UK,Tablet,Books,83,2,6,438,56-65
CUST_100,Male,28,Australia,Tablet,Sports,101,30,7,883,26-35
CUST_101,Male,53,Pakistan,Mobile,Home,82,47,5,1094,46-55
CUST_102,Female,56,UK,Desktop,Home,16,20,2,914,56-65
CUST_103,Female,57,UK,Desktop,Sports,4,18,0,569,56-65
CUST_104,Female,52,Pakistan,Desktop,Sports,12,43,6,110,46-55
CUST_105,Female,51,USA,Tablet,Clothing,29,10,0,100,46-55
CUST_106,Female,64,UK,Desktop,Sports,7,24,0,172,56-65
CUST_107,Female,41,India,Tablet,Beauty,14,4,8,46,36-45
CUST_108,Female,39,Pakistan,Desktop,Sports,119,37,9,108,36-45
CUST_109,Female,22,Australia,Desktop,Beauty,12,4,6,1232,18-25
CUST_110,Male,50,Canada,Mobile,Sports,99,13,3,524,46-55
CUST_111,Female,53,USA,Desktop,Clothing,5,25,5,286,46-55
CUST_112,Male,64,Pakistan,Desktop,Beauty,81,13,0,1071,56-65
CUST_113,Female,37,Canada,Mobile,Electronics,106,18,6,951,36-45
CUST_114,Female,36,Canada,Tablet,Beauty,32,24,5,1138,36-45
CUST_115,Male,52,Australia,Tablet,Clothing,74,2,3,1238,46-55
CUST_116,Female,60,UK,Desktop,Books,43,48,6,753,56-65
CUST_117,Male,34,Australia,Tablet,Beauty,81,33,2,835,26-35
CUST_118,Female,62,UK,Desktop,Sports,69,19,0,53,56-65
CUST_119,Female,60,UK,Mobile,Sports,45,9,3,119,56-65
CUST_120,Male,51,Pakistan,Mobile,Books,106,28,2,1183,46-55
CUST_121,Female,26,Pakistan,Desktop,Clothing,9,35,0,507,26-35
CUST_122,Male,43,USA,Mobile,Home,49,39,1,990,36-45
CUST_123,Female,19,UK,Mobile,Sports,33,10,4,75,18-25
CUST_124,Male,26,Canada,Desktop,Electronics,100,1,7,1016,26-35
CUST_125,Male,26,India,Desktop,Clothing,100,42,0,1364,26-35
CUST_126,Female,57,USA,Mobile,Beauty,18,21,3,71,56-65
CUST_127,Female,34,Pakistan,Tablet,Beauty,9,9,3,971,26-35
CUST_128,Male,18,Australia,Tablet,Electronics,62,47,4,1241,18-25
CUST_129,Female,42,USA,Desktop,Sports,57,15,6,185,36-45
CUST_130,Female,60,USA,Desktop,Clothing,29,35,7,617,56-65
CUST_131,Female,57,USA,Tablet,Electronics,114,5,5,701,56-65
CUST_132,Male,59,USA,Mobile,Sports,78,41,0,607,56-65
CUST_133,Male,42,India,Tablet,Clothing,25,22,6,252,36-45
CUST_134,Male,56,Australia,Tablet,Beauty,15,41,2,1242,56-65
CUST_135,Male,52,Australia,Tablet,Clothing,6,23,5,363,46-55
CUST_136,Male,20,Australia,Tablet,Books,42,7,7,253,18-25
CUST_137,Male,54,UK,Desktop,Home,29,23,6,642,46-55
CUST_138,Male,61,Canada,Desktop,Clothing,79,44,9,954,56-65
CUST_139,Male,61,Australia,Mobile,Home,93,25,5,1116,56-65
CUST_140,Male,47,USA,Mobile,Clothing,4,27,8,667,46-55
CUST_141,Female,55,USA,Mobile,Home,82,41,8,180,46-55
CUST_142,Male,51,Australia,Mobile,Books,114,6,0,727,46-55
CUST_143,Female,29,Australia,Tablet,Beauty,57,34,0,430,26-35
CUST_144,Female,36,USA,Desktop,Sports,49,9,0,775,36-45
CUST_145,Female,54,UK,Desktop,Home,44,49,7,707,46-55
CUST_146,Male,61,Pakistan,Mobile,Books,103,33,9,85,56-65
CUST_147,Male,34,Pakistan,Mobile,Home,80,6,6,931,26-35
CUST_148,Male,27,Australia,Tablet,Beauty,75,37,2,142,26-35
CUST_149,Male,64,India,Tablet,Home,14,31,1,1461,56-65
CUST_150,Female,29,Australia,Mobile,Books,3,34,3,474,26-35
CUST_151,Male,33,Australia,Desktop,Books,115,41,2,354,26-35
CUST_152,Male,41,Pakistan,Desktop,Electronics,114,29,6,1154,36-45
CUST_153,Male,36,USA,Desktop,Beauty,62,14,9,1337,36-45
CUST_154,Male,25,Australia,Mobile,Electronics,106,36,7,1258,18-25
CUST_155,Male,48,USA,Desktop,Beauty,64,36,5,1488,46-55
CUST_156,Female,38,USA,Tablet,Home,102,15,2,1373,36-45
CUST_157,Male,34,India,Tablet,Books,45,8,5,314,26-35
CUST_158,Female,40,USA,Mobile,Electronics,106,26,1,1048,36-45
CUST_159,Male,54,Pakistan,Tablet,Home,82,36,6,1006,46-55
CUST_160,Female,33,UK,Mobile,Books,58,48,9,273,26-35
CUST_161,Male,23,UK,Desktop,Beauty,20,21,6,1031,18-25
CUST_162,Male,25,Canada,Desktop,Books,58,28,3,774,18-25
CUST_163,Female,42,Australia,Desktop,Home,112,4,7,20,36-45
CUST_164,Female,35,Pakistan,Tablet,Electronics,89,16,3,610,26-35
CUST_165,Female,42,USA,Mobile,Electronics,57,22,6,1386,36-45
CUST_166,Male,29,UK,Desktop,Books,102,12,3,817,26-35
CUST_167,Female,32,Pakistan,Mobile,Home,77,16,4,1161,26-35
CUST_168,Male,43,UK,Desktop,Clothing,68,40,6,1340,36-45
CUST_169,Male,58,USA,Tablet,Beauty,119,38,9,486,56-65
CUST_170,Female,62,UK,Tablet,Beauty,78,42,2,899,56-65
CUST_171,Female,43,Australia,Mobile,Home,97,37,9,1333,36-45
CUST_172,Male,64,Australia,Tablet,Clothing,92,29,4,273,56-65
CUST_173,Male,49,Canada,Tablet,Electronics,52,18,2,418,46-55
CUST_174,Female,27,Canada,Mobile,Sports,37,10,4,29,26-35
CUST_175,Female,33,UK,Desktop,Sports,8,42,2,320,26-35
CUST_176,Female,24,Pakistan,Tablet,Home,44,39,9,575,18-25
CUST_177,Male,34,Australia,Mobile,Clothing,98,18,6,729,26-35
CUST_178,Male,40,Pakistan,Tablet,Clothing,108,1,0,1012,36-45
CUST_179,Male,43,Pakistan,Tablet,Beauty,5,39,8,1304,36-45
CUST_180,Male,38,UK,Tablet,Electronics,118,21,8,393,36-45
CUST_181,Male,39,Pakistan,Tablet,Books,69,1,4,726,36-45
CUST_182,Male,24,Australia,Mobile,Clothing,31,15,8,448,18-25
CUST_183,Female,31,USA,Mobile,Books,45,4,9,1003,26-35
CUST_184,Male,32,Canada,Mobile,Sports,9,20,5,1455,26-35
