final_age,final_gender,device_type,time_spent,items_viewed,daily_screen_time,social_media_hours,stress_level,addiction_level,purchase_amount,total_spent
40,Male,Tablet,87,12,,,,,,1187
38,Female,Tablet,71,22,,,,,,153
36,Male,Tablet,59,20,,,,,,1055
36,Male,Mobile,39,18,,,,,,991
53,Male,Desktop,3,1,,,,,,588
46,Female,Desktop,76,30,,,,,,252
35,Male,Mobile,7,33,,,,,,1129
19,Male,Desktop,49,24,,,,,,706
18,Male,Tablet,26,14,,,,,,100
64,Female,Desktop,33,36,,,,,,1412
22,Male,Desktop,101,5,,,,,,286
37,Male,Desktop,48,11,,,,,,326
28,Male,Tablet,79,24,,,,,,1424
59,Male,Mobile,2,31,,,,,,1306
19,Female,Tablet,105,13,,,,,,533
20,Male,Mobile,71,16,,,,,,267
40,Female,Mobile,32,24,,,,,,584
29,Female,Mobile,4,13,,,,,,1321
37,Female,Desktop,20,24,,,,,,298
22,Male,Desktop,114,26,,,,,,399
54,Female,Mobile,117,2,,,,,,517
55,Male,Mobile,36,16,,,,,,925
47,Female,Desktop,32,38,,,,,,814
26,Female,Tablet,28,46,,,,,,1208
51,Female,Mobile,77,1,,,,,,924
61,Female,Tablet,1,49,,,,,,697
52,Female,Desktop,60,11,,,,,,239
39,Female,Mobile,56,35,,,,,,956
61,Female,Tablet,35,43,,,,,,1365
41,Female,Tablet,112,29,,,,,,1036
34,Male,Tablet,30,37,,,,,,1471
27,Male,Desktop,54,17,,,,,,543
47,Female,Desktop,36,39,,,,,,824
63,Female,Tablet,55,42,,,,,,1119
40,Female,Tablet,89,28,,,,,,276
49,Male,Desktop,80,29,,,,,,1033
34,Female,Tablet,58,43,,,,,,1247
34,Male,Tablet,83,3,,,,,,1146
31,Male,Desktop,65,10,,,,,,597
26,Male,Tablet,69,42,,,,,,980
57,Male,Tablet,51,14,,,,,,119
19,Male,Tablet,22,12,,,,,,267
62,Female,Desktop,88,47,,,,,,1334
42,Female,Tablet,107,42,,,,,,1450
56,Female,Desktop,109,30,,,,,,211
26,Female,Desktop,116,32,,,,,,307
39,Female,Mobile,101,32,,,,,,116
60,Male,Mobile,53,42,,,,,,1445
63,Female,Tablet,100,32,,,,,,1313
21,Female,Desktop,36,26,,,,,,189
43,Male,Mobile,68,1,,,,,,905
46,Female,Tablet,36,42,,,,,,225
62,Male,Mobile,52,2,,,,,,1472
51,Female,Mobile,53,17,,,,,,1145
40,Male,Desktop,82,30,,,,,,1098
54,Female,Desktop,50,39,,,,,,902
28,Female,Mobile,80,7,,,,,,1098
23,Male,Mobile,41,27,,,,,,626
35,Male,Desktop,18,9,,,,,,431
38,Male,Tablet,22,22,,,,,,648
59,Male,Desktop,66,34,,,,,,572
53,Male,Mobile,21,46,,,,,,447
58,Male,Tablet,100,49,,,,,,605
55,Male,Mobile,44,1,,,,,,1165
51,Male,Tablet,103,9,,,,,,508
34,Female,Mobile,47,20,,,,,,135
54,Female,Tablet,39,19,,,,,,222
42,Male,Tablet,29,36,,,,,,692
55,Female,Mobile,54,40,,,,,,175
29,Female,Tablet,90,45,,,,,,616
40,Female,Desktop,85,4,,,,,,996
59,Female,Mobile,17,9,,,,,,1157
39,Male,Desktop,80,41,,,,,,61
38,Female,Mobile,60,22,,,,,,1209
44,Male,Tablet,31,18,,,,,,250
48,Female,Tablet,115,12,,,,,,148
23,Female,Tablet,73,42,,,,,,1079
44,Female,Mobile,95,43,,,,,,372
57,Male,Desktop,78,39,,,,,,1487
51,Female,Desktop,49,9,,,,,,222
29,Male,Mobile,101,6,,,,,,620
62,Female,Mobile,2,19,,,,,,1285
24,Male,Desktop,116,48,,,,,,1184
27,Female,Desktop,48,47,,,,,,446
62,Male,Desktop,110,7,,,,,,845
34,Male,Desktop,14,16,,,,,,960
43,Female,Mobile,59,5,,,,,,703
38,Male,Mobile,97,16,,,,,,880
45,Female,Tablet,99,1,,,,,,780
63,Female,Desktop,58,37,,,,,,766
19,Female,Tablet,103,39,,,,,,949
60,Female,Mobile,58,19,,,,,,927
18,Female,Mobile,111,37,,,,,,939
53,Female,Tablet,51,17,,,,,,29
43,Female,Desktop,84,26,,,,,,810
46,Female,Desktop,2,22,,,,,,768
38,Female,Desktop,115,8,,,,,,1088
28,Female,Desktop,41,33,,,,,,1495
57,Female,Tablet,83,2,,,,,,438
28,Male,Tablet,101,30,,,,,,883
53,Male,Mobile,82,47,,,,,,1094
56,Female,Desktop,16,20,,,,,,914
57,Female,Desktop,4,18,,,,,,569
52,Female,Desktop,12,43,,,,,,110
51,Female,Tablet,29,10,,,,,,100
64,Female,Desktop,7,24,,,,,,172
41,Female,Tablet,14,4,,,,,,46
39,Female,Desktop,119,37,,,,,,108
22,Female,Desktop,12,4,,,,,,1232
50,Male,Mobile,99,13,,,,,,524
53,Female,Desktop,5,25,,,,,,286
64,Male,Desktop,81,13,,,,,,1071
37,Female,Mobile,106,18,,,,,,951
36,Female,Tablet,32,24,,,,,,1138
52,Male,Tablet,74,2,,,,,,1238
60,Female,Desktop,43,48,,,,,,753
34,Male,Tablet,81,33,,,,,,835
62,Female,Desktop,69,19,,,,,,53
60,Female,Mobile,45,9,,,,,,119
51,Male,Mobile,106,28,,,,,,1183
26,Female,Desktop,9,35,,,,,,507
43,Male,Mobile,49,39,,,,,,990
19,Female,Mobile,33,10,,,,,,75
26,Male,Desktop,100,1,,,,,,1016
26,Male,Desktop,100,42,,,,,,1364
57,Female,Mobile,18,21,,,,,,71
34,Female,Tablet,9,9,,,,,,971
18,Male,Tablet,62,47,,,,,,1241
42,Female,Desktop,57,15,,,,,,185
60,Female,Desktop,29,35,,,,,,617
57,Female,Tablet,114,5,,,,,,701
59,Male,Mobile,78,41,,,,,,607
42,Male,Tablet,25,22,,,,,,252
56,Male,Tablet,15,41,,,,,,1242
52,Male,Tablet,6,23,,,,,,363
20,Male,Tablet,42,7,,,,,,253
54,Male,Desktop,29,23,,,,,,642
61,Male,Desktop,79,44,,,,,,954
61,Male,Mobile,93,25,,,,,,1116
47,Male,Mobile,4,27,,,,,,667
55,Female,Mobile,82,41,,,,,,180
51,Male,Mobile,114,6,,,,,,727
29,Female,Tablet,57,34,,,,,,430
36,Female,Desktop,49,9,,,,,,775
54,Female,Desktop,44,49,,,,,,707
61,Male,Mobile,103,33,,,,,,85
34,Male,Mobile,80,6,,,,,,931
27,Male,Tablet,75,37,,,,,,142
64,Male,Tablet,14,31,,,,,,1461
29,Female,Mobile,3,34,,,,,,474
33,Male,Desktop,115,41,,,,,,354
41,Male,Desktop,114,29,,,,,,1154
36,Male,Desktop,62,14,,,,,,1337
25,Male,Mobile,106,36,,,,,,1258
48,Male,Desktop,64,36,,,,,,1488
38,Female,Tablet,102,15,,,,,,1373
34,Male,Tablet,45,8,,,,,,314
40,Female,Mobile,106,26,,,,,,1048
54,Male,Tablet,82,36,,,,,,1006
33,Female,Mobile,58,48,,,,,,273
23,Male,Desktop,20,21,,,,,,1031
25,Male,Desktop,58,28,,,,,,774
42,Female,Desktop,112,4,,,,,,20
35,Female,Tablet,89,16,,,,,,610
42,Female,Mobile,57,22,,,,,,1386
29,Male,Desktop,102,12,,,,,,817
32,Female,Mobile,77,16,,,,,,1161
43,Male,Desktop,68,40,,,,,,1340
58,Male,Tablet,119,38,,,,,,486
62,Female,Tablet,78,42,,,,,,899
43,Female,Mobile,97,37,,,,,,1333
64,Male,Tablet,92,29,,,,,,273
49,Male,Tablet,52,18,,,,,,418
27,Female,Mobile,37,10,,,,,,29
33,Female,Desktop,8,42,,,,,,320
24,Female,Tablet,44,39,,,,,,575
34,Male,Mobile,98,18,,,,,,729
40,Male,Tablet,108,1,,,,,,1012
43,Male,Tablet,5,39,,,,,,1304
38,Male,Tablet,118,21,,,,,,393
39,Male,Tablet,69,1,,,,,,726
24,Male,Mobile,31,15,,,,,,448
31,Female,Mobile,45,4,,,,,,1003
32,Male,Mobile,9,20,,,,,,1455
24,Male,Tablet,106,10,,,,,,1085
26,Male,Tablet,32,23,,,,,,701
25,Female,Tablet,33,41,,,,,,975
40,Male,Mobile,67,34,,,,,,725
46,Male,Tablet,30,46,,,,,,372
35,Female,Desktop,114,48,,,,,,346
48,Male,Tablet,76,33,,,,,,308
47,Male,Desktop,29,34,,,,,,768
56,Male,Tablet,3,39,,,,,,1402
52,Male,Mobile,90,10,,,,,,820
35,Male,Tablet,57,20,,,,,,116
59,Female,Desktop,30,1,,,,,,882
56,Female,Desktop,9,13,,,,,,1034
34,Female,Tablet,26,1,,,,,,934
31,Male,Desktop,2,5,,,,,,707
48,Male,Desktop,62,16,,,,,,850
41,Male,Mobile,3,15,,,,,,948
52,Female,Tablet,46,49,,,,,,283
61,Male,Tablet,68,28,,,,,,386
62,Male,Tablet,25,31,,,,,,17
51,Female,Desktop,51,23,,,,,,307
20,Male,Tablet,13,48,,,,,,164
54,Female,Tablet,103,45,,,,,,158
60,Female,Mobile,44,43,,,,,,758
57,Female,Mobile,35,17,,,,,,185
43,Male,Mobile,55,49,,,,,,1208
40,Male,Desktop,87,34,,,,,,381
61,Male,Tablet,9,13,,,,,,780
56,Male,Mobile,2,14,,,,,,1196
32,Male,Mobile,61,11,,,,,,1242
21,Male,Mobile,118,28,,,,,,1178
46,Male,Tablet,41,42,,,,,,20
39,Female,Tablet,44,32,,,,,,1119
42,Male,Tablet,64,35,,,,,,1148
30,Female,Desktop,31,31,,,,,,257
35,Male,Desktop,108,17,,,,,,1088
50,Male,Mobile,47,47,,,,,,1294
33,Male,Tablet,2,9,,,,,,1437
62,Female,Mobile,96,10,,,,,,35
59,Female,Tablet,82,8,,,,,,1049
61,Female,Tablet,77,21,,,,,,735
19,Female,Tablet,110,13,,,,,,293
52,Male,Desktop,69,5,,,,,,502
59,Female,Desktop,58,6,,,,,,1433
51,Male,Tablet,106,30,,,,,,552
47,Male,Mobile,44,31,,,,,,965
30,Female,Tablet,74,17,,,,,,136
30,Female,Tablet,56,11,,,,,,1352
35,Female,Mobile,43,20,,,,,,862
49,Female,Tablet,89,48,,,,,,1160
49,Female,Mobile,34,9,,,,,,525
52,Female,Desktop,101,2,,,,,,34
56,Female,Desktop,30,37,,,,,,631
63,Female,Mobile,71,1,,,,,,1329
46,Male,Desktop,70,4,,,,,,8
46,Female,Desktop,118,36,,,,,,1353
61,Female,Mobile,55,25,,,,,,513
33,Male,Desktop,67,3,,,,,,1265
61,Female,Tablet,13,9,,,,,,20
64,Male,Tablet,3,22,,,,,,1001
27,Male,Mobile,26,23,,,,,,1474
47,Female,Desktop,57,12,,,,,,960
42,Male,Tablet,24,10,,,,,,1258
56,Male,Tablet,53,34,,,,,,1135
37,Male,Desktop,70,43,,,,,,1417
22,Male,Desktop,43,10,,,,,,267
18,Female,Tablet,60,30,,,,,,1093
47,Male,Tablet,58,22,,,,,,269
20,Female,Mobile,49,6,,,,,,1366
62,Male,Mobile,42,2,,,,,,1329
31,Male,Tablet,76,30,,,,,,382
47,Male,Mobile,113,2,,,,,,1203
21,Male,Tablet,100,32,,,,,,967
35,Female,Tablet,66,42,,,,,,1180
54,Female,Mobile,11,16,,,,,,480
42,Male,Mobile,103,12,,,,,,1294
18,Male,Desktop,98,1,,,,,,333
63,Female,Desktop,90,8,,,,,,1191
32,Male,Desktop,18,48,,,,,,442
26,Male,Tablet,85,13,,,,,,1371
32,Male,Mobile,100,15,,,,,,1395
41,Female,Tablet,104,44,,,,,,1493
21,Female,Mobile,52,8,,,,,,1227
29,Female,Tablet,46,10,,,,,,20
54,Male,Desktop,44,46,,,,,,1324
54,Male,Desktop,22,5,,,,,,872
60,Female,Desktop,53,19,,,,,,515
23,Female,Tablet,59,47,,,,,,988
56,Female,Mobile,94,38,,,,,,1267
63,Female,Mobile,114,11,,,,,,585
41,Male,Desktop,107,43,,,,,,1329
28,Female,Desktop,30,20,,,,,,10
30,Male,Desktop,8,20,,,,,,1248
51,Female,Desktop,98,21,,,,,,1023
42,Male,Mobile,57,18,,,,,,1481
24,Female,Tablet,111,10,,,,,,1461
21,Female,Tablet,73,34,,,,,,811
25,Female,Tablet,115,26,,,,,,1414
37,Female,Tablet,20,30,,,,,,623
46,Male,Desktop,104,9,,,,,,1323
62,Female,Desktop,25,46,,,,,,1146
63,Male,Desktop,19,31,,,,,,409
27,Male,Tablet,5,42,,,,,,1001
60,Male,Desktop,75,4,,,,,,598
51,Male,Desktop,79,6,,,,,,570
43,Female,Mobile,72,14,,,,,,756
58,Male,Mobile,83,4,,,,,,16
20,Male,Desktop,87,26,,,,,,1237
23,Male,Mobile,27,47,,,,,,169
22,Female,Mobile,40,48,,,,,,882
22,Female,Desktop,96,39,,,,,,1322
64,Female,Desktop,26,17,,,,,,82
40,Female,Desktop,27,19,,,,,,1462
26,Male,Desktop,62,49,,,,,,618
52,Male,Tablet,83,6,,,,,,873
37,Female,Tablet,50,29,,,,,,816
59,Male,Desktop,42,11,,,,,,1105
52,Male,Mobile,29,16,,,,,,1076
35,Male,Desktop,39,30,,,,,,771
34,Female,Desktop,60,25,,,,,,86
41,Female,Mobile,41,40,,,,,,213
20,Male,Tablet,33,11,,,,,,1473
49,Female,Desktop,83,7,,,,,,526
52,Female,Desktop,101,26,,,,,,1057
55,Female,Tablet,83,22,,,,,,1332
30,Female,Tablet,97,25,,,,,,998
64,Female,Mobile,111,19,,,,,,469
42,Male,Tablet,16,31,,,,,,1474
26,Female,Tablet,23,26,,,,,,632
21,Male,Tablet,7,42,,,,,,785
31,Male,Mobile,26,41,,,,,,1456
